year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1945,-0.4,5.9,7.2,8.6,10.5,13.3,15.6,14.5,13.0,10.6,6.6,3.9
1946,2.0,4.7,4.4,8.8,9.2,12.0,15.0,13.3,12.6,8.7,7.0,2.5
1947,1.4,-2.2,1.6,7.2,11.6,14.1,15.5,16.9,13.6,10.1,5.7,4.2
1948,3.7,3.7,7.0,7.8,9.7,12.1,14.5,13.6,12.5,9.1,6.2,4.4
1949,4.2,4.6,3.9,8.9,9.9,13.5,15.6,15.4,14.8,10.4,5.6,4.7
1950,3.5,3.8,6.4,6.2,9.7,14.7,14.9,14.5,11.7,8.8,4.6,0.3
1951,2.4,2.5,2.7,5.6,8.4,12.3,15.0,13.7,12.9,9.0,7.2,4.2
1952,1.4,2.6,5.3,8.2,11.9,12.9,15.2,14.7,9.9,7.9,3.3,2.2
1953,3.1,3.8,5.2,5.8,11.5,12.9,14.4,14.9,12.9,8.7,7.5,5.8
1954,2.1,1.1,4.4,6.6,10.1,12.1,13.0,13.2,11.4,10.6,5.7,5.4
1955,1.6,0.0,2.3,8.2,8.2,12.0,16.2,16.4,13.2,8.3,6.4,4.2
1956,2.3,-0.5,4.9,5.4,10.6,11.8,14.4,12.0,13.0,8.6,5.4,4.8
1957,4.5,3.6,7.7,7.3,9.1,13.4,15.0,14.0,11.1,9.6,5.8,3.6
1958,2.0,3.0,2.3,6.3,9.6,12.2,14.5,14.7,13.8,9.7,5.3,3.5
1959,0.4,3.8,6.0,8.1,11.3,13.7,15.7,16.0,13.5,11.4,6.0,4.8
1960,2.9,2.7,4.8,8.0,11.4,14.6,13.9,13.8,12.0,9.3,5.7,3.0
1961,2.3,5.5,7.4,8.4,9.6,13.1,13.5,13.9,13.8,9.6,5.3,1.1
1962,3.3,3.6,1.6,6.4,9.0,12.3,13.2,13.1,11.5,9.5,4.4,1.2
1963,-1.5,-1.6,4.6,7.1,9.2,13.3,13.8,12.9,11.7,9.7,6.6,2.3
1964,2.8,3.4,3.0,7.8,11.8,12.4,14.5,14.1,12.7,7.9,6.3,2.4
1965,2.3,2.8,3.7,6.9,10.2,13.2,12.5,13.4,11.4,9.9,3.2,2.9
1966,1.9,3.7,5.6,5.4,9.9,14.0,13.6,13.4,12.7,8.8,4.7,3.8
1967,3.3,4.4,6.0,6.8,8.7,12.8,15.2,14.4,12.3,9.4,4.3,3.2
1968,3.3,1.0,5.3,7.1,8.4,13.4,13.4,14.2,12.6,11.3,5.5,2.3
1969,4.1,-0.4,1.9,6.0,9.6,12.6,15.4,15.1,12.8,11.8,3.8,2.3
1970,2.4,1.6,2.8,5.4,11.4,14.7,14.0,14.9,13.2,9.5,6.0,3.6
1971,3.5,3.9,4.2,6.6,10.2,11.0,15.5,14.2,13.1,10.3,5.2,5.9
1972,3.0,3.1,5.1,7.3,9.6,10.9,14.1,13.7,10.6,9.4,5.2,4.4
1973,3.7,3.6,5.6,5.8,10.0,13.9,14.6,14.7,12.8,8.1,4.6,3.6
1974,4.7,4.5,4.5,6.5,9.9,12.2,13.7,14.0,10.9,6.7,5.3,6.6
1975,5.5,3.4,3.7,7.2,8.2,13.0,15.8,17.3,11.9,8.8,5.0,4.6
1976,4.6,3.7,3.7,6.8,10.4,15.1,16.5,15.7,12.0,9.5,4.9,1.1
1977,1.4,3.2,5.7,6.1,9.1,11.3,14.4,14.1,12.0,10.5,5.2,4.9
1978,1.9,1.1,5.6,5.4,10.3,12.4,13.3,13.8,12.8,10.9,7.4,2.5
1979,-1.0,0.3,3.4,6.4,8.6,13.0,14.6,13.6,12.1,10.1,5.5,4.4
1980,1.4,4.3,3.4,7.7,9.7,12.6,13.5,14.4,13.5,7.7,5.7,4.7
1981,3.5,2.3,6.2,6.5,10.4,12.2,14.3,14.8,13.5,6.9,6.5,-0.8
1982,1.7,3.9,5.0,7.7,10.2,13.6,15.1,14.5,13.0,9.1,6.5,3.1
1983,5.4,0.9,5.4,5.4,8.8,12.6,17.2,15.8,12.2,9.2,6.4,4.7
1984,2.1,2.6,3.8,6.9,8.8,13.0,15.4,15.9,12.3,9.9,6.9,4.3
1985,0.4,1.7,3.7,7.2,9.6,11.2,14.7,13.5,13.3,10.2,2.8,4.9
1986,2.2,-1.3,4.0,4.7,10.2,13.2,14.5,12.2,10.4,9.6,6.7,4.8
1987,0.4,2.7,3.1,8.9,8.7,11.3,14.7,14.2,12.2,8.4,5.7,4.9
1988,4.0,3.9,4.9,7.1,10.3,13.4,13.8,14.2,12.0,9.3,4.6,6.5
1989,5.6,5.0,6.0,5.4,11.3,13.1,16.5,15.1,13.1,10.5,5.7,3.5
1990,5.4,6.1,7.4,7.0,11.2,12.6,15.1,16.6,11.7,10.6,5.9,3.7
1991,2.1,1.3,6.8,6.9,9.8,11.0,16.4,15.9,13.2,9.2,5.5,4.0
1992,3.0,4.9,6.2,7.6,11.9,14.6,14.9,14.1,12.0,6.6,5.9,2.7
1993,4.5,4.4,5.5,8.3,9.9,13.4,14.0,13.2,11.2,7.2,3.6,3.7
1994,3.7,1.8,6.2,7.1,9.1,13.1,16.3,14.4,11.3,8.9,8.5,5.1
1995,3.1,5.1,4.1,7.6,10.4,12.7,17.0,17.1,12.5,11.8,6.8,1.5
1996,3.4,1.8,3.3,7.3,8.0,12.9,15.0,15.5,12.4,10.4,4.6,2.3
1997,2.0,5.5,7.2,7.8,10.1,12.6,15.6,17.2,12.7,8.9,7.5,5.0
1998,4.1,7.0,6.8,6.8,11.6,12.9,14.3,14.6,13.4,9.2,4.9,4.5
1999,4.5,4.3,6.3,8.4,11.8,12.7,16.2,14.9,14.6,9.8,6.9,3.3
2000,4.2,5.1,6.5,6.9,10.7,13.5,13.9,15.3,13.5,9.2,5.8,4.3
2001,2.4,3.1,3.8,6.4,11.3,12.7,15.7,15.5,12.2,12.4,6.8,2.9
2002,4.5,5.7,6.4,8.1,11.0,13.4,14.6,16.0,13.2,8.6,7.1,4.5
2003,3.8,3.0,6.6,8.8,11.2,14.9,16.4,16.4,13.3,8.2,7.2,3.9
2004,4.3,4.6,5.6,8.7,11.1,14.1,14.6,16.3,13.4,9.5,6.8,4.7
2005,5.2,3.7,6.4,7.7,10.2,14.2,15.5,15.0,13.9,11.8,5.6,3.9
2006,3.6,3.5,3.7,7.4,10.9,14.7,18.2,15.0,15.5,11.8,7.3,5.3
2007,5.9,5.0,6.2,10.1,10.7,13.8,14.4,14.6,12.9,10.1,6.8,4.0
2008,5.4,4.7,5.1,6.9,11.9,13.0,15.5,15.4,12.7,8.8,6.1,3.0
2009,2.7,3.6,6.2,8.9,11.0,13.6,15.3,15.7,13.3,10.3,7.2,2.1
2010,0.7,1.5,5.3,8.1,9.7,14.2,15.8,14.3,13.2,9.4,4.3,-1.2
2011,2.9,5.4,5.8,10.7,11.2,13.1,14.3,14.4,14.1,11.3,8.5,4.7
2012,4.3,3.8,7.8,6.3,10.4,12.4,14.4,15.4,12.2,8.2,5.8,3.6
2013,2.8,2.5,1.8,6.5,9.8,12.9,17.2,15.9,12.7,11.4,5.3,5.6
2014,4.6,5.2,6.7,9.3,11.4,14.2,16.5,14.1,13.8,11.1,7.6,4.4
2015,3.5,3.5,5.4,7.9,9.7,12.8,14.6,15.1,11.8,10.0,8.2,8.0
2016,4.5,3.8,5.2,6.4,11.2,13.8,15.6,15.7,15.0,10.0,4.6,5.8
2017,3.5,5.3,7.5,8.1,12.1,14.7,15.2,14.7,12.7,11.4,5.8,3.8
2018,4.0,2.1,3.7,8.5,12.2,14.8,17.5,15.7,12.6,9.7,7.3,5.5
2019,3.4,6.1,6.8,8.1,10.2,13.2,16.8,16.3,13.1,8.7,5.4,4.9
